17,18
5,9
1
10,17
1,0,E
2,0,E
8,0,E
11,0,S
13,0,S
15,0,S
0,1,S
11,1,S
13,1,S
15,1,S
13,2,S
15,2,S
1,3,E
3,3,S
13,3,S
15,3,S
0,4,E
0,5,E
0,10,S
0,11,E
1,6,E
1,13,E
2,5,E
2,5,S
2,7,E
2,11,S
2,16,S
3,5,S
3,9,S
4,11,E
4,13,S
4,14,E
4,17,E
5,9,E
5,11,S
5,14,S
6,4,E
6,5,S
6,6,S
6,8,E
6,10,S
6,11,S
6,15,E
7,7,E
8,4,E
8,6,S
8,12,E
8,14,S
9,4,S
9,14,E
11,8,E
11,14,E
11,15,E
11,16,E
12,8,S
12,11,E
12,13,S
12,15,E
12,16,E
12,16,S
13,4,S
13,5,S
13,6,S
13,7,S
13,8,S
13,11,S
13,13,S
13,14,S
13,15,S
14,7,E
14,8,S
14,9,S
14,10,E
14,11,E
14,11,S
14,13,S
14,14,S
14,15,S
14,15,E
14,16,E
15,4,S
15,5,S
15,6,S
15,7,S
15,7,E
15,13,S
15,14,E
15,15,E
15,16,S
15,16,E
